ProductName,BrandName,ChemicalCount,DiscontinuedDate,ChemicalName,Discontinued
03 Oil-free Balancing Foundation SPF 25,The Body Shop,1,0,'Titanium dioxide',1
03 Pressed Face Powder,The Body Shop,1,02/11/2014,'Titanium dioxide',0
03 Roseflower Lips Shade: Deep Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Sheer Lip Lustre Shade: Rose Shimmer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Sheer Lip Shine Shade: Sheer Strawberry,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Sparkle Lip Liner Shade: Ocean Green,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Tinted Glow Enhancer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
03 Ultra Smooth Foundation,The Body Shop,1,07/11/2013,'Titanium dioxide',0
030 DELICIOUS TINTED BALM,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
030 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
035 ALL-IN-ONE FACE BASE,The Body Shop,1,0,'Titanium dioxide',1
037 LIP & CHEEK STAIN DUSTY ROSE,The Body Shop,1,0,'Titanium dioxide',1
04 ALL-IN-ONE CHEEK COLOUR SHADE: MARSHMALLOW,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 ALL-IN-ONE FACE BASE,The Body Shop,1,0,'Titanium dioxide',1
04 ALL-IN-ONE-CONCEALER,The Body Shop,1,0,'Titanium dioxide',1
04 All In One Face Base,The Body Shop,1,0,'Titanium dioxide',1
04 Bronzing Powder,The Body Shop,1,02/11/2014,'Titanium dioxide',0
04 COLOUR CRUSH LIP COLOUR SHADE: UNCHAINED MULBERRY,The Body Shop,1,0,'Titanium dioxide',1
04 COLOUR CRUSH SHINE LIP COLOUR SHADE: UNCHAINED MULBERRY,The Body Shop,1,0,'Titanium dioxide',1
04 COLOURGLIDE SHINE LIP COLOUR SHADE: LILAC WHISPER,The Body Shop,1,0,'Titanium dioxide',1
04 CONCEALER,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 CONCEALER PENCIL,The Body Shop,1,0,'Titanium dioxide',1
04 Cheek Colour Shade: Brown Topaz,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 Cream Eye Colour Shade: Blueberry,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 Eye Colour Matte,The Body Shop,1,02/11/2014,'Titanium dioxide',0
04 Eye Colour Shade: Pink Opal,The Body Shop,1,02/11/2014,'Titanium dioxide',0
04 Eye Colour Shade: Quartz,The Body Shop,1,0,'Titanium dioxide',1
04 Eye Shimmer,The Body Shop,1,02/11/2014,'Titanium dioxide',0
04 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
04 Flawless Skin Protecting Concealer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 Flawless Skin Protecting Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 Hi-shine Lip Treatment Shade: Red Gleam,The Body Shop,1,07/10/2013,'Titanium dioxide',0
04 Lightening Touch,The Body Shop,1,0,'Titanium dioxide',1
04 Lip Colour Shade: Shell Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
